名称,评分,评价人数,导演,主演,上映日期,类型,简介
音乐之声,9.1,655281,罗伯特·怀斯 Robert Wise,朱莉·安德鲁斯 Julie Andrews / 克...,1965,剧情 传记 爱情 歌舞,暂无简介
西西里的美丽传说,8.9,1054013,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,2000,剧情 战争 情色,暂无简介
阿凡达,8.8,1519405,詹姆斯·卡梅隆 James Cameron,萨姆·沃辛顿 Sam Worthington ...,2009,动作 科幻 冒险,绝对意义上的美轮美奂。
功夫,8.9,1264747,周星驰 Stephen Chow,周星驰 Stephen Chow / 元秋 Qiu Yuen / ...,2004,动作 喜剧 犯罪 奇幻,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
看不见的客人,8.8,1382560,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿...,2016,剧情 犯罪 悬疑 惊悚,你以为你以为的就是你以为的。
哈利·波特与阿兹卡班的囚徒,9.0,842447,阿方索·卡隆 Alfonso Cuarón,丹尼尔·雷德克里夫 Daniel Rad...,2004,奇幻 冒险,不一样的导演，不一样的哈利·波特。
拯救大兵瑞恩,9.1,696966,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,1998,剧情 战争,暂无简介
小鞋子,9.2,444979,马基德·马基迪 Majid Majidi,默罕默德·阿米尔·纳吉 Mohamma...,1997,剧情 儿童 家庭,暂无简介
沉默的羔羊,8.9,972709,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安...,1991,剧情 犯罪 惊悚,暂无简介
飞越疯人院,9.1,583685,米洛斯·福尔曼 Miloš Forman,杰克·尼科尔森 Jack Nichols...,1975,剧情,暂无简介
布达佩斯大饭店,8.9,1034798,韦斯·安德森 Wes Anderson,拉尔夫·费因斯 Ralph Fiennes / ...,2014,剧情 喜剧 冒险,小清新的故事里注入了大历史的情怀。
蝴蝶效应,8.9,1020878,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,暂无主演信息,2004,剧情 悬疑 科幻 惊悚,人的命运被自己瞬间的抉择改变。
禁闭岛,8.9,1065355,Martin Scorsese,莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,2010,剧情 悬疑 惊悚,昔日翩翩少年，今日大腹便便。
致命魔术,8.9,928762,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman...,2006,剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。
心灵捕手,9.0,783608,格斯·范·桑特 Gus Van Sant,马特·达蒙 Matt Damon / 罗宾·...,1997,剧情,暂无简介
低俗小说,8.9,914919,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra...,1994,剧情 喜剧 犯罪,暂无简介
超脱,9.0,683226,托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody / 马西...,2011,剧情,穷尽一生，我们要学会的，不过是彼此拥抱。
摩登时代,9.3,330443,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,1936,剧情 喜剧 爱情,暂无简介
哈利·波特与密室,8.9,868036,Chris Columbus,丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...,2002,奇幻 冒险,暂无简介
喜剧之王,8.8,1046959,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,1999,喜剧 剧情 爱情,暂无简介
致命ID,8.9,904427,詹姆斯·曼高德 James Mangold,约翰·库萨克 John Cusack / 雷...,2003,剧情 悬疑 惊悚,暂无简介
春光乍泄,9.0,683376,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,1997,剧情 爱情 同性,暂无简介
杀人回忆,8.9,794377,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,2003,剧情 动作 犯罪 悬疑 惊悚,暂无简介
海豚湾,9.3,373968,路易·西霍尤斯 Louie Psihoyos,路易·西霍尤斯 Louie Psihoyo...,2009,纪录片,海豚的微笑，是世界上最高明的伪装。
美国往事,9.1,451313,赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗 Robert De Niro ...,1984,犯罪 剧情,暂无简介
一一,9.1,459543,杨德昌 Edward Yang,吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...,2000,剧情 爱情 家庭,暂无简介
加勒比海盗,8.8,929275,戈尔·维宾斯基 Gore Verbinski,约翰尼·德普 Johnny Depp / ...,2003,动作 冒险 奇幻,暂无简介
红辣椒,9.0,533148,今敏 Satoshi Kon,林原惠美 Megumi Hayashibara / 江守彻 Toru...,2006,动画 悬疑 科幻 惊悚,梦的勾结。
七宗罪,8.8,1014394,大卫·芬奇 David Fincher,摩根·弗里曼 Morgan Freeman / 布...,1995,剧情 犯罪 悬疑 惊悚,暂无简介
唐伯虎点秋香,8.7,1174196,李力持 Lik-Chi Lee,周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,1993,喜剧 爱情 古装,暂无简介
狩猎,9.1,442358,托马斯·温特伯格 Thomas Vinterberg,麦斯·米科尔森 Mads Mik...,2012,剧情,人言可畏。
7号房的礼物,8.9,600876,李焕庆 Hwan-kyeong Lee,柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,2013,剧情 喜剧 家庭,《我是山姆》的《美丽人生》。
甜蜜蜜,8.9,634345,陈可辛 Peter Chan,黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,1996,剧情 爱情,暂无简介
蝙蝠侠：黑暗骑士崛起,8.9,782152,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2012,剧情 动作 科幻 犯罪 惊悚,诺兰就是保证。
被嫌弃的松子的一生,8.8,749781,中岛哲也 Tetsuya Nakashima,中谷美纪 Miki Nakatani / 瑛太 E...,2006,剧情 歌舞,以戏谑来戏谑戏谑。
寄生虫,8.8,1485122,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 李善均 Seon-gyun...,2019,剧情,暂无简介
超能陆战队,8.8,1101048,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,2014,喜剧 动作 科幻 动画 冒险,Balalala~~~
爱在黎明破晓前,8.8,757608,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,1995,剧情 爱情,暂无简介
天书奇谭,9.2,309459,王树忱 Shuchen Wang / 钱运达 Yunda Qian,丁建华 Jianhua Din...,1983(中国大陆),动画 奇幻,暂无简介
第六感,8.9,608725,M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯 Bruce Wi...,1999,剧情 悬疑 惊悚,暂无简介
重庆森林,8.8,885183,王家卫 Kar Wai Wong,林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,剧情 爱情,暂无简介
爱在日落黄昏时,8.9,620823,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,2004,剧情 爱情,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
幽灵公主,8.9,568918,宫崎骏 Hayao Miyazaki,松田洋治 Yôji Matsuda / 石田百合...,1997,动画 奇幻 冒险,暂无简介
入殓师,8.9,721740,泷田洋二郎 Yôjirô Takita,本木雅弘 Masahiro Motoki / ...,2008,剧情,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
剪刀手爱德华,8.7,1092838,蒂姆·波顿 Tim Burton,约翰尼·德普 Johnny Depp / 薇诺娜·...,1990,剧情 爱情 奇幻,暂无简介
断背山,8.8,754346,李安 Ang Lee,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,剧情 爱情 同性 家庭,每个人心中都有一座断背山。
勇敢的心,8.9,589402,梅尔·吉布森 Mel Gibson,梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,动作 传记 剧情 历史 战争,暂无简介
菊次郎的夏天,8.9,648641,北野武 Takeshi Kitano,北野武 Takeshi Kitano / 关口雄介 Yus...,1999,剧情 喜剧,暂无简介
未麻的部屋,9.1,396716,今敏 Satoshi Kon,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,剧情 犯罪 动画 悬疑 惊悚,暂无简介
借东西的小人阿莉埃蒂,8.9,602010,米林宏昌 Hiromasa Yonebayashi,志田未来 Mirai Shida / 神木...,2010,动画 奇幻 冒险,曾经的那段美好会沉淀为一辈子的记忆。
哈利·波特与火焰杯,8.8,758632,迈克·内威尔 Mike Newell,丹尼尔·雷德克里夫 Daniel Radclif...,2005,悬疑 奇幻 冒险,暂无简介
茶馆,9.6,186543,谢添 Tian Xie,于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982(中国大陆),剧情 历史,暂无简介
消失的爱人,8.7,1034984,大卫·芬奇 David Fincher,本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,剧情 犯罪 悬疑 惊悚,年度最佳date movie。
时空恋旅人,8.8,749717,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格里森 Domhnall Gl...,2013,喜剧 爱情 奇幻,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
无人知晓,9.1,356411,是枝裕和 Hirokazu Koreeda,柳乐优弥 Yûya Yagira / 北浦爱...,2004,剧情,我的平常生活就是他人的幸福。
头脑特工队,8.8,748947,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,暂无主演信息,2015,喜剧 动画 冒险,愿我们都不用长大，每一座城堡都能永远存在。
倩女幽魂,8.8,791669,程小东 Siu-Tung Ching,张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,爱情 奇幻 武侠 古装,暂无简介
阳光灿烂的日子,8.8,666612,姜文 Wen Jiang,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,剧情 爱情,暂无简介
完美的世界,9.1,345628,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳 Kevin Cos...,1993,剧情 犯罪,暂无简介
